Mått;År;Region;Diagnos;Kön;Ålder;Värde
False;1998;5;4;3;4;22
False;1998;8;4;3;4;26
False;1998;10;4;3;3;2
False;1998;10;4;3;4;23
False;1998;12;4;3;1;2
False;1998;12;4;3;3;10
False;1998;12;4;3;4;90
False;1998;14;4;3;1;9
False;1998;14;4;3;3;19
False;1998;14;4;3;4;139
False;1998;18;4;3;1;2
False;1998;18;4;3;4;21
False;1998;21;4;3;3;5
False;1998;21;4;3;4;32
False;1998;22;4;3;2;3
False;1998;22;4;3;3;6
False;1998;23;4;3;4;22
False;1998;24;4;3;4;33
False;1998;25;4;3;2;5
False;1998;25;4;3;3;3
False;1998;25;4;3;4;45
False;1998;0;2;3;1;4
False;1998;0;2;3;2;95
False;1998;0;2;3;3;324
False;1998;0;2;3;4;9179
False;1998;1;2;3;2;18
False;1998;1;2;3;3;93
False;1998;1;2;3;4;1173
False;1998;3;2;3;2;3
False;1998;3;2;3;3;7
False;1998;3;2;3;4;1632
False;1998;4;2;3;2;1
False;1998;4;2;3;3;9
False;1998;4;2;3;4;218
False;1998;5;2;3;1;1
False;1998;5;2;3;2;4
False;1998;5;2;3;3;18
False;1998;5;2;3;4;409
False;1998;6;2;3;2;1
False;1998;6;2;3;3;10
False;1998;6;2;3;4;199
False;1998;7;2;3;2;1
False;1998;7;2;3;3;3
False;1998;7;2;3;4;434
False;1998;8;2;3;2;1
False;1998;8;2;3;3;7
False;1998;8;2;3;4;164
False;1998;9;2;3;2;2
False;1998;9;2;3;3;2
False;1998;9;2;3;4;25
False;1998;10;2;3;2;2
False;1998;10;2;3;3;2
False;1998;10;2;3;4;380
False;1998;12;2;3;1;1
False;1998;12;2;3;2;22
False;1998;12;2;3;3;45
False;1998;12;2;3;4;1168
False;1998;13;2;3;2;4
False;1998;13;2;3;3;12
False;1998;13;2;3;4;254
False;1998;14;2;3;2;11
False;1998;14;2;3;3;42
False;1998;14;2;3;4;1030
False;1998;17;2;3;1;1
False;1998;17;2;3;2;2
False;1998;17;2;3;3;9
False;1998;17;2;3;4;1662
False;1998;18;2;3;2;2
False;1998;18;2;3;3;7
False;1998;18;2;3;4;258
False;1998;19;2;3;3;6
False;1998;19;2;3;4;172
False;1998;20;2;3;2;4
False;1998;20;2;3;3;13
False;1998;20;2;3;4;277
False;1998;21;2;3;2;6
False;1998;21;2;3;3;10
False;1998;21;2;3;4;350
False;1998;22;2;3;2;3
False;1998;22;2;3;3;8
False;1998;22;2;3;4;309
False;1998;23;2;3;2;1
False;1998;23;2;3;3;8
False;1998;23;2;3;4;119
False;1998;24;2;3;2;4
False;1998;24;2;3;3;5
False;1998;24;2;3;4;145
False;1998;25;2;3;2;3
False;1998;25;2;3;3;8
False;1998;25;2;3;4;545
False;1998;0;3;3;1;5
False;1998;0;3;3;2;17
False;1998;0;3;3;3;25
False;1998;0;3;3;4;149
False;1998;1;3;3;1;1
False;1998;1;3;3;2;6
False;1998;1;3;3;3;7
False;1998;1;3;3;4;46
False;1998;3;3;3;2;1
False;1998;3;3;3;3;2
False;1998;4;3;3;4;4
False;1998;5;3;3;3;1
False;1998;5;3;3;4;11
False;1998;6;3;3;3;1
False;1998;6;3;3;4;5
False;1998;8;3;3;2;2
False;1998;8;3;3;3;1
False;1998;9;3;3;4;4
False;1998;10;3;3;2;1
False;1998;10;3;3;4;1
False;1998;12;3;3;2;3
False;1998;12;3;3;3;2
False;1998;12;3;3;4;17
False;1998;13;3;3;2;1
False;1998;13;3;3;3;1
False;1998;13;3;3;4;2
False;1998;14;3;3;2;2
False;1998;14;3;3;3;4
False;1998;14;3;3;4;20
False;1998;17;3;3;1;2
False;1998;17;3;3;4;6
False;1998;18;3;3;2;1
False;1998;18;3;3;3;2
False;1998;18;3;3;4;7
False;1998;19;3;3;1;2
False;1998;19;3;3;4;2
False;1998;20;3;3;3;3
False;1998;20;3;3;4;7
False;1998;21;3;3;3;1
False;1998;21;3;3;4;2
False;1998;23;3;3;4;2
False;1998;24;3;3;4;2
False;1998;25;3;3;4;10
False;1999;20;2;3;1;1
False;1999;4;1;3;2;2
False;1999;10;1;3;2;2
False;1999;13;1;3;2;1
False;1999;23;1;3;3;7
False;1999;21;1;3;2;3
False;1999;9;1;3;2;1
False;1999;10;1;3;3;8
False;1999;17;1;3;3;25
False;1999;18;1;3;3;19
False;1999;6;1;3;2;5
False;1999;22;1;3;3;14
False;1999;3;1;3;3;19
False;1999;8;1;3;2;3
False;1999;3;1;3;1;12
False;1999;3;1;3;2;6
False;1999;7;1;3;1;10
False;1999;7;1;3;2;2
False;1999;8;1;3;3;19
False;1999;9;1;3;1;4
False;1999;9;1;3;3;3
False;1999;20;1;3;1;9
False;1999;21;1;3;3;20
False;1999;23;1;3;1;5
False;1999;0;1;3;1;438
False;1999;0;1;3;2;113
False;1999;0;1;3;3;592
False;1999;0;1;3;4;172052
False;1999;1;1;3;1;106
False;1999;1;1;3;2;24
False;1999;1;1;3;3;148
False;1999;1;1;3;4;27785
False;1999;3;1;3;4;6340
False;1999;4;1;3;1;9
False;1999;4;1;3;3;14
False;1999;4;1;3;4;5651
False;1999;5;1;3;1;23
False;1999;5;1;3;2;5
False;1999;5;1;3;3;19
False;1999;5;1;3;4;8453
False;1999;6;1;3;1;15
False;1999;6;1;3;3;21
False;1999;6;1;3;4;7673
False;1999;7;1;3;3;19
False;1999;7;1;3;4;3749
False;1999;8;1;3;1;21
False;1999;8;1;3;4;4480
False;1999;9;1;3;4;2640
False;1999;10;1;3;1;8
False;1999;10;1;3;4;3613
False;1999;12;1;3;1;54
False;1999;12;1;3;2;18
False;1999;12;1;3;3;69
False;1999;12;1;3;4;21551
False;1999;13;1;3;1;7
False;1999;13;1;3;3;14
False;1999;13;1;3;4;6538
False;1999;14;1;3;1;64
False;1999;14;1;3;2;14
False;1999;14;1;3;3;93
False;1999;14;1;3;4;28696
False;1999;17;1;3;1;12
False;1999;17;1;3;2;7
False;1999;17;1;3;4;6669
False;1999;18;1;3;1;17
False;1999;18;1;3;2;2
False;1999;18;1;3;4;5771
False;1999;19;1;3;1;12
False;1999;19;1;3;2;4
False;1999;19;1;3;3;21
False;1999;19;1;3;4;4523
False;1999;20;1;3;2;4
False;1999;20;1;3;3;11
False;1999;20;1;3;4;8161
False;1999;21;1;3;1;9
False;1999;21;1;3;4;6211
False;1999;22;1;3;1;13
False;1999;22;1;3;2;2
False;1999;22;1;3;4;5295
False;1999;23;1;3;4;3398
False;1999;24;1;3;1;10
False;1999;24;1;3;2;2
False;1999;24;1;3;3;13
False;1999;24;1;3;4;5341
False;1999;25;1;3;1;18
False;1999;25;1;3;2;6
False;1999;25;1;3;3;16
False;1999;25;1;3;4;5842
False;1999;13;4;3;2;2
False;1999;10;4;3;3;2
False;1999;1;4;3;1;11
False;1999;3;4;3;2;7
False;1999;3;4;3;3;2
False;1999;4;4;3;2;2
False;1999;4;4;3;3;3
False;1999;5;4;3;1;10
False;1999;5;4;3;2;4
False;1999;5;4;3;3;3
False;1999;6;4;3;2;4
False;1999;7;4;3;2;2
False;1999;7;4;3;3;2
False;1999;7;4;3;4;20
False;1999;8;4;3;2;1
False;1999;8;4;3;4;24
False;1999;9;4;3;1;1
False;1999;9;4;3;3;2
False;1999;9;4;3;4;6
False;1999;10;4;3;2;1
False;1999;10;4;3;4;12
False;1999;12;4;3;1;4
False;1999;12;4;3;3;13
False;1999;13;4;3;1;2
False;1999;13;4;3;3;2
False;1999;13;4;3;4;54
False;1999;14;4;3;1;6
False;1999;17;4;3;3;6
False;1999;18;4;3;2;2
False;1999;18;4;3;4;24
False;1999;19;4;3;2;3
False;1999;19;4;3;3;1
False;1999;20;4;3;2;5
False;1999;20;4;3;3;5
False;1999;21;4;3;2;2
False;1999;22;4;3;1;1
False;1999;22;4;3;2;3
False;1999;23;4;3;2;3
False;1999;23;4;3;3;2
False;1999;24;4;3;2;5
False;1999;24;4;3;3;3
False;1999;25;4;3;1;2
False;1999;25;4;3;2;3
False;1999;25;4;3;3;4
False;1999;3;4;3;4;31
False;1999;12;4;3;2;7
False;1999;0;4;3;1;40
False;1999;0;4;3;2;87
False;1999;0;4;3;3;96
False;1999;0;4;3;4;834
False;1999;1;4;3;2;13
False;1999;1;4;3;3;13
False;1999;1;4;3;4;84
False;1999;4;4;3;1;1
False;1999;4;4;3;4;23
False;1999;5;4;3;4;91
False;1999;6;4;3;1;1
False;1999;6;4;3;3;2
False;1999;6;4;3;4;30
False;1999;7;4;3;1;1
False;1999;12;4;3;4;84
False;1999;14;4;3;2;13
False;1999;14;4;3;3;18
False;1999;14;4;3;4;145
False;1999;17;4;3;2;5
False;1999;17;4;3;4;39
False;1999;18;4;3;3;4
False;1999;19;4;3;4;47
False;1999;20;4;3;4;30
False;1999;21;4;3;3;4
False;1999;21;4;3;4;16
False;1999;22;4;3;3;5
False;1999;22;4;3;4;51
False;1999;23;4;3;4;14
